manufacturer,oem,prefix,name,suffix,vram,gddr,price,link
NVIDIA,華碩,RTX,4060,,8,6,10990,https://24h.pchome.com.tw/prod/DRADKY-A900GSTYO
NVIDIA,索泰,RTX,3060,,12,6,7990,https://24h.pchome.com.tw/prod/DRADD7-A900EP73A
NVIDIA,微星,RTX,4070,,,6,20490,https://24h.pchome.com.tw/prod/DRADNP-A900G8COR
NVIDIA,技嘉,RTX,4060,Ti,8,6,15590,https://24h.pchome.com.tw/prod/DRADL2-A900H005J
NVIDIA,華碩,RTX,4070,,,6,22490,https://24h.pchome.com.tw/prod/DRADKY-A900G8CNE
NVIDIA,微星,RTX,4060,,17,6,9990,https://24h.pchome.com.tw/prod/DRADI7-A900GOIOV
NVIDIA,技嘉,RTX,4070,Super,12,6,23090,https://24h.pchome.com.tw/prod/DRADL2-A900H318I
NVIDIA,華碩,RTX,4070,,12,6,23990,https://24h.pchome.com.tw/prod/DRADKY-1900H387I
NVIDIA,微星,RTX,4070,,,6,20890,https://24h.pchome.com.tw/prod/DRADLA-A900GSTZ3
NVIDIA,華碩,RTX,4070,,12,6,24490,https://24h.pchome.com.tw/prod/DRADKY-A900GXRFA
NVIDIA,索泰,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADLX-A900GCVY3
NVIDIA,技嘉,RTX,4070,Super,12,6,24090,https://24h.pchome.com.tw/prod/DRADL2-A900H317R
NVIDIA,微星,GTX,1650,,4,6,4390,https://24h.pchome.com.tw/prod/DRADLA-A900GGF99
NVIDIA,微星,RTX,4060,,8,6,9990,https://24h.pchome.com.tw/prod/DRADLA-A900GG51J
NVIDIA,華碩,RTX,4070,,,6,19990,https://24h.pchome.com.tw/prod/DRADKY-A900GFKUX
NVIDIA,微星,GTX,1650,,4,6,4390,https://24h.pchome.com.tw/prod/DRADLA-A900GS00E
NVIDIA,技嘉,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADL2-A900H2D9S
NVIDIA,微星,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADLA-A900H33H4
